test'022a30b9-cbff-481e-8efa-3bf90325b366', '4de91774-12af-47ed-b424-2faee58c60a9', 1000, 45, '2-#', 10, '2-7', 9, 'hit'
test'022a30b9-cbff-481e-8efa-3bf90325b366', '4de91774-12af-47ed-b424-2faee58c60a9', 1000, 45, '2-#', 10, '2-7-7', 16, 'hit'
test'022a30b9-cbff-481e-8efa-3bf90325b366', '4de91774-12af-47ed-b424-2faee58c60a9', 1000, 45, '2-#', 10, '2-7-7-4', 20, 'hit', 955, 'playerBusted'
test'86807cb2-7cbf-408e-a948-eb29229483fb', '21b16103-9483-4ca8-8789-fb01a62f3a52', 1999, 999, '3-#', 12, '7-5', 12, 'hit', 1000, 'playerBusted'
test'86807cb2-7cbf-408e-a948-eb29229483fb', '7771c929-1241-4c67-811b-0abdffc67d3a', 1, 1, '6-#', 10, '5-A', 6, 'hit'
test'86807cb2-7cbf-408e-a948-eb29229483fb', '47b68ab1-c813-4d8f-9db6-c0174057c210', -100, 34, '8-#', 17, 'Q-J', 20, 'hit', -134, 'playerBusted'
test'86807cb2-7cbf-408e-a948-eb29229483fb', 'afa1b5bd-70c2-42e3-b283-c6126a9f3df2', -134, 45, '2-#', 7, '6-7', 13, 'hit', -179, 'playerBusted'
test'86807cb2-7cbf-408e-a948-eb29229483fb', '491981d2-53e9-44ca-9b01-5c5ae98829a4', -145, 145, '4-#', 6, '7-2', 9, 'hit'
test'8e30b12f-f4d8-4ee2-8677-e4d93f48163e', '3908570f-d66a-42ea-8d27-cd1485ca6a3b', 1000, 45, '2-#', 8, '6-7', 13, 'hit'
test'8e30b12f-f4d8-4ee2-8677-e4d93f48163e', '3908570f-d66a-42ea-8d27-cd1485ca6a3b', 1000, 45, '2-#', 8, '6-7-5', 18, 'hit'
test'8e30b12f-f4d8-4ee2-8677-e4d93f48163e', '3908570f-d66a-42ea-8d27-cd1485ca6a3b', 1000, 45, '2-#', 8, '6-7-5-2', 20, 'hit', 955, 'playerBusted'
test'eb9d2d28-c717-4c03-854b-d36bd75c9f4b', 'dbd7a892-e5b4-4d39-a019-20a28211a39b', 1000, 34, '2-#', 12, '8-4', 12, 'hit'
test'eb9d2d28-c717-4c03-854b-d36bd75c9f4b', 'dbd7a892-e5b4-4d39-a019-20a28211a39b', 1000, 34, '2-#', 12, '8-4-6', 18, 'hit'
test'eb9d2d28-c717-4c03-854b-d36bd75c9f4b', 'dbd7a892-e5b4-4d39-a019-20a28211a39b', 1000, 34, '2-#', 12, '8-4-6-A', 19, 'hit'
test'eb9d2d28-c717-4c03-854b-d36bd75c9f4b', 'dbd7a892-e5b4-4d39-a019-20a28211a39b', 1000, 34, '2-#', 12, '8-4-6-A-2', 21, 'hit', 966, 'playerBusted'
